ART,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2013-4-15,29,20,11,15,12,9,94,64,21,1017,1016,1014,14,11,8,14,8,,0.00,,,228
2013-4-16,26,18,11,14,13,11,100,67,38,1020,1018,1017,14,11,8,14,8,,0.00,,,100
2013-4-17,27,19,11,15,13,11,100,70,38,1020,1017,1016,14,9,3,16,10,,0.00,,,41
2013-4-18,28,19,10,14,12,9,100,74,24,1018,1016,1015,14,4,0,26,5,,0.00,,Fog,353
2013-4-19,29,19,9,14,12,7,100,72,25,1019,1017,1016,14,8,1,19,3,,0.00,,Fog,358
2013-4-20,27,18,9,15,13,10,100,70,29,1020,1018,1016,14,9,5,19,5,,0.00,,Fog,48
2013-4-21,28,20,11,16,13,11,100,65,30,1020,1018,1017,14,12,9,19,6,,0.00,,,44
2013-4-22,28,21,13,16,14,12,94,70,35,1020,1019,1017,14,10,8,21,10,,0.00,1,Fog,58
2013-4-23,28,20,13,18,16,12,100,76,38,1021,1019,1017,10,8,3,14,6,,0.00,4,Fog,62
2013-4-24,28,21,13,17,16,14,100,80,39,1020,1017,1014,11,4,0,19,3,,0.00,,Fog,33
2013-4-25,29,21,13,18,15,12,100,75,33,1016,1015,1013,14,7,0,27,8,,0.00,,Fog,39
2013-4-26,27,19,12,16,13,12,100,73,34,1015,1013,1010,14,6,1,23,6,,0.00,2,Fog,80
2013-4-27,21,19,18,18,16,14,94,82,61,1013,1011,1009,14,10,8,23,13,,2.03,6,Rain-Thunderstorm,126
2013-4-28,23,18,12,17,14,11,95,75,45,1013,1011,1010,14,12,9,23,10,,0.00,6,Rain,227
2013-4-29,24,16,8,15,12,8,100,78,40,1015,1014,1011,14,10,9,13,5,,0.00,2,Fog,228
2013-4-30,23,17,10,16,13,10,100,81,48,1017,1015,1014,14,5,0,32,8,,0.00,3,Fog,94
2013-5-1,23,19,16,20,17,14,100,84,63,1015,1011,1008,14,10,4,23,13,,2.03,8,Rain,55
2013-5-2,22,21,19,20,19,19,100,93,80,1012,1010,1009,14,8,1,21,10,,21.08,8,Rain-Thunderstorm,99
2013-5-3,23,19,13,19,17,12,100,88,60,1014,1010,1006,14,9,3,35,18,,418.08,5,Rain-Thunderstorm,140
2013-5-4,20,16,12,13,12,11,100,84,51,1019,1016,1014,14,9,3,13,8,,0.00,6,Rain,167
2013-5-5,24,17,11,13,11,1,100,74,23,1022,1020,1018,14,9,4,13,5,,0.00,1,Rain,230
2013-5-6,26,18,10,15,10,4,94,66,27,1021,1016,1015,14,10,6,32,10,,0.00,1,Fog,265
2013-5-7,19,11,4,7,4,-2,93,62,19,1026,1022,1017,14,14,14,14,10,,0.00,,,300
2013-5-8,24,16,7,14,9,5,93,67,32,1017,1013,1010,14,13,11,32,13,,0.00,,,343
2013-5-9,25,18,11,15,13,11,100,73,42,1015,1013,1011,14,11,8,19,10,,0.00,,Fog,25
2013-5-10,26,20,14,18,15,13,94,73,43,1013,1010,1007,14,11,9,19,11,,0.00,,,32
2013-5-11,23,19,13,18,11,4,100,61,22,1016,1014,1010,11,10,1,26,8,,0.00,5,Rain,165
2013-5-12,22,14,7,15,11,5,94,76,55,1017,1015,1014,14,10,6,14,8,,0.00,1,,131
2013-5-13,21,16,11,16,14,11,100,92,75,1016,1014,1012,11,4,0,8,5,,0.00,7,Fog,141
2013-5-14,22,17,11,16,14,8,100,85,55,1014,1012,1010,11,5,0,27,6,48,7.87,5,Fog,145
2013-5-15,12,8,5,9,2,-8,94,62,14,1024,1020,1015,14,10,6,37,23,,7.87,8,Rain,189
2013-5-16,14,7,-1,3,-1,-2,100,68,23,1028,1025,1024,14,14,14,11,6,,0.00,,,255
2013-5-17,16,8,0,7,3,0,100,72,27,1027,1025,1023,14,12,8,14,3,,0.00,,,41
2013-5-18,11,10,9,9,8,6,100,86,63,1024,1023,1022,14,9,4,19,6,,7.11,8,Rain,69
2013-5-19,14,11,9,11,9,8,100,90,73,1024,1023,1021,14,10,8,16,10,,0.00,8,Rain,158
2013-5-20,15,9,4,9,7,4,100,91,67,1024,1022,1019,11,4,0,11,3,,0.00,3,Fog,113
2013-5-21,14,8,2,11,7,3,100,90,66,1020,1019,1018,14,4,0,11,3,,0.00,7,Fog,150
2013-5-22,17,10,3,9,7,4,100,85,50,1022,1021,1019,11,5,0,11,5,,0.00,3,Fog,173
2013-5-23,18,12,6,12,8,6,100,85,45,1022,1020,1018,14,7,1,13,5,,0.00,4,Fog,232
2013-5-24,22,12,2,11,6,2,100,84,35,1022,1020,1019,11,3,0,14,5,,0.00,2,Fog,294
2013-5-25,21,13,5,12,9,5,100,85,43,1021,1018,1015,14,3,0,16,5,,0.00,3,Fog,7
2013-5-26,21,13,6,13,9,8,100,81,38,1016,1014,1011,14,6,0,16,6,,0.00,3,Fog,3
2013-5-27,22,13,5,15,9,4,100,90,58,1024,1014,1002,11,6,0,13,3,,0.00,7,Fog-Rain,128
2013-5-28,23,19,15,18,16,13,94,81,53,1003,999,993,14,10,9,26,13,,2.03,7,Rain,6
2013-5-29,21,16,10,15,6,-2,100,60,13,1013,1009,1004,14,11,8,32,18,,0.76,8,Rain,215
2013-5-30,22,13,4,8,4,1,87,55,19,1015,1013,1010,14,14,14,27,13,,0.00,,,314
2013-5-31,22,16,11,14,7,2,88,54,23,1010,1007,1004,14,11,6,37,19,61,0.00,6,,346
2013-6-1,22,13,4,10,8,4,100,75,33,1013,1011,1009,14,7,5,16,5,,0.00,,,325
2013-6-2,16,11,6,8,3,0,87,57,30,1021,1018,1014,14,10,6,16,10,,0.00,8,,225
2013-6-3,21,11,2,6,4,1,100,68,20,1022,1020,1017,14,12,9,21,6,,0.00,1,,309
2013-6-4,24,14,5,13,8,4,98,73,31,1018,1015,1014,11,9,9,23,8,,0.00,7,,307
2013-6-5,25,17,8,11,8,2,94,64,31,1018,1012,1009,14,9,6,23,10,,0.00,,,277
2013-6-6,16,10,4,7,4,1,100,68,37,1023,1021,1019,14,12,9,14,10,,0.00,,,136
2013-6-7,21,12,4,9,7,4,96,71,30,1023,1019,1016,14,11,8,21,6,,0.00,,,353
2013-6-8,18,12,6,10,6,4,87,65,36,1026,1023,1019,14,11,9,27,13,,0.76,8,Rain,83
2013-6-9,15,13,11,14,12,10,100,91,72,1020,1017,1016,11,6,0,23,8,,3.05,8,Fog-Rain,73
2013-6-10,16,11,7,15,12,8,100,97,88,1020,1018,1017,4,1,0,8,3,,0.00,8,Fog,328
2013-6-11,23,19,14,17,15,13,100,88,50,1020,1019,1016,14,3,0,21,5,,0.00,3,Fog,18
2013-6-12,26,18,10,19,14,11,100,84,52,1019,1017,1015,14,7,0,23,6,,0.00,3,Fog,341
2013-6-13,27,20,13,19,16,14,100,88,49,1016,1015,1013,11,4,0,26,6,,0.00,2,Fog,315
2013-6-14,16,14,11,19,8,6,94,64,41,1024,1021,1016,14,12,9,26,13,,0.00,7,Thunderstorm,121
2013-6-15,14,11,8,12,8,5,94,81,61,1023,1017,1013,14,12,10,24,16,,0.00,8,,49
2013-6-16,13,9,6,13,9,4,100,85,56,1021,1016,1012,14,7,0,34,10,58,0.00,8,Fog,180
2013-6-17,14,8,2,7,4,1,93,80,45,1021,1019,1016,14,11,5,14,8,,0.00,2,Fog,116
2013-6-18,16,11,6,12,9,-1,100,85,53,1022,1016,1013,14,8,1,23,6,,2.03,8,Fog-Rain,217
2013-6-19,11,6,0,-2,-3,-6,75,55,20,1029,1026,1022,14,11,8,14,11,,0.00,,,160
2013-6-20,12,4,-3,2,-2,-5,93,69,22,1028,1024,1018,14,8,3,11,3,,0.00,6,,129
2013-6-21,17,7,-4,3,-1,-4,100,73,27,1019,1013,1009,14,9,6,11,3,,0.00,1,,291
2013-6-22,17,8,-1,6,2,-1,93,68,32,1020,1014,1010,14,10,9,13,5,,0.00,1,,152
2013-6-23,15,9,3,6,3,1,100,71,33,1023,1022,1020,14,11,8,16,10,,0.00,,,138
2013-6-24,16,10,4,9,6,2,93,78,50,1023,1021,1019,14,10,9,14,8,,0.00,1,,140
2013-6-25,16,8,-1,8,4,0,100,87,42,1020,1018,1016,14,4,0,10,5,,0.00,2,Fog,191
2013-6-26,19,9,-1,9,5,0,100,84,31,1019,1017,1015,10,3,0,23,5,,0.00,1,Fog,324
2013-6-27,18,11,3,9,7,4,100,79,38,1017,1014,1010,14,7,0,26,10,,0.00,8,Fog,2
2013-6-28,17,13,11,12,11,8,94,85,68,1011,1009,1007,14,9,1,14,10,,0.00,7,,50
2013-6-29,19,12,6,9,6,2,100,70,22,1018,1015,1012,14,7,1,11,6,,0.00,,Fog,136
2013-6-30,17,10,2,7,4,1,94,69,28,1023,1020,1018,14,9,6,16,6,,0.00,6,,109
2013-7-1,20,11,2,9,5,3,100,76,24,1025,1022,1020,14,8,1,14,6,,0.00,,Fog,339
2013-7-2,21,13,6,6,4,2,87,55,19,1020,1014,1009,14,10,8,34,14,50,0.00,,Fog,6
2013-7-3,23,15,7,16,12,4,88,73,51,1011,1010,1009,14,12,9,29,16,,0.00,,,15
2013-7-4,23,19,14,17,15,11,100,79,60,1014,1012,1011,14,10,6,19,11,,0.00,4,,97
2013-7-5,17,14,11,16,14,11,100,97,86,1015,1012,1009,11,2,0,19,8,,0.00,8,Fog-Rain,127
2013-7-6,12,11,11,16,11,7,100,89,67,1022,1015,1011,14,8,0,26,14,,0.00,8,Fog-Rain,191
2013-7-7,12,8,4,7,5,3,100,77,47,1030,1026,1022,14,11,10,14,10,,0.00,6,,159
2013-7-8,14,7,1,7,3,1,100,76,41,1032,1029,1023,14,9,5,26,11,,0.00,7,,108
2013-7-9,11,10,9,11,8,3,100,86,49,1024,1019,1017,14,7,2,35,16,,18.03,6,Rain-Thunderstorm,57
2013-7-10,16,13,11,16,13,11,100,99,92,1019,1015,1012,14,3,0,14,6,,0.51,8,Fog-Rain,76
2013-7-11,18,16,13,18,16,13,100,98,94,1020,1014,1012,14,3,0,23,5,,5.08,8,Fog-Rain,177
2013-7-12,12,11,9,13,11,9,100,95,86,1023,1021,1019,14,7,0,21,14,,0.00,8,Fog-Rain,170
2013-7-13,18,12,6,12,9,7,100,89,50,1020,1017,1013,11,3,0,40,5,,0.00,5,Fog,307
2013-7-14,17,12,6,10,4,-3,100,68,18,1023,1020,1016,14,9,6,40,10,,0.00,8,Fog,0
2013-7-15,18,9,-1,6,3,0,100,76,20,1024,1021,1018,14,13,9,19,5,,0.00,,,323
2013-7-16,23,13,3,14,8,3,94,78,41,1019,1015,1012,14,11,8,35,11,,0.00,,Fog,324
2013-7-17,25,16,7,16,11,7,100,83,42,1013,1009,1004,14,7,0,24,8,,0.00,2,Fog,325
2013-7-18,11,8,4,12,3,-4,94,65,25,1026,1017,1006,14,11,6,47,19,63,0.00,5,,168
2013-7-19,11,7,2,2,1,-1,87,68,33,1027,1023,1017,14,11,9,13,10,,0.00,6,,198
2013-7-20,14,9,3,3,1,-5,87,61,19,1017,1012,1008,14,13,11,29,11,,0.00,8,,276
2013-7-21,9,4,-1,1,-2,-5,86,66,29,1023,1019,1017,14,12,10,47,23,61,0.00,5,,229
2013-7-22,8,6,2,2,-1,-2,81,64,40,1027,1025,1024,14,11,10,32,24,,0.00,5,,226
2013-7-23,12,3,-6,0,-4,-8,100,63,23,1029,1026,1025,14,14,14,26,8,,0.00,,,287
2013-7-24,13,7,-1,1,-1,-3,87,60,27,1029,1026,1025,14,12,9,10,6,,0.00,8,,250
2013-7-25,17,8,-2,5,0,-3,100,71,20,1026,1024,1022,11,4,0,35,6,,0.00,2,Fog,349
2013-7-26,17,12,8,5,3,1,76,56,24,1025,1022,1018,14,10,9,34,18,,0.00,8,,21
2013-7-27,21,13,6,11,8,5,100,74,49,1022,1021,1020,14,7,2,11,6,,0.00,8,Fog,70
2013-7-28,21,11,1,10,6,1,100,79,35,1023,1021,1019,10,5,0,13,3,,0.00,6,Fog,95
2013-7-29,22,13,5,12,9,6,100,76,41,1023,1021,1019,10,7,3,14,6,,0.00,8,Fog,87
2013-7-30,23,18,13,15,13,11,83,72,57,1020,1015,1009,14,11,10,24,14,,0.00,7,,80
2013-7-31,23,20,17,16,14,13,88,74,54,1013,1010,1008,11,10,9,29,13,,0.00,8,,76
2013-8-1,12,11,9,12,9,7,94,84,71,1019,1015,1012,14,10,7,32,21,,0.00,8,Rain,155
2013-8-2,14,9,4,7,6,4,100,79,40,1022,1020,1018,14,11,8,23,11,,0.00,5,Fog,168
2013-8-3,13,7,-1,8,4,0,100,86,60,1020,1017,1014,11,5,0,27,5,,0.00,4,Fog,74
2013-8-4,19,9,-1,9,6,0,100,80,30,1022,1018,1015,10,6,0,16,6,,0.00,,Fog,323
2013-8-5,23,14,5,11,6,1,100,69,20,1019,1015,1013,14,12,8,23,14,,0.00,,,278
2013-8-6,21,11,1,5,2,-1,93,53,16,1021,1017,1009,14,9,4,24,11,,0.00,,,47
2013-8-7,26,19,13,16,8,-3,77,50,27,1009,1003,998,14,9,5,39,19,58,0.00,,,75
2013-8-8,16,11,6,4,-1,-8,58,40,16,1022,1015,1009,14,11,10,37,16,,0.00,7,,192
2013-8-9,15,8,1,1,-3,-7,75,50,12,1030,1027,1023,14,12,9,19,11,,0.00,1,,179
2013-8-10,17,7,-3,3,-2,-6,87,56,11,1029,1024,1019,14,12,9,23,10,,0.00,,,324
2013-8-11,18,11,3,5,1,-3,81,56,18,1019,1014,1009,14,11,8,29,11,,0.00,6,,339
2013-8-12,16,10,4,6,3,1,93,64,36,1022,1015,1011,14,10,8,37,11,,0.00,8,,206
2013-8-13,11,4,-2,3,-2,-6,100,60,18,1034,1029,1024,14,12,9,23,14,,0.00,3,,173
2013-8-14,13,3,-6,2,-4,-7,98,61,20,1035,1032,1028,14,12,8,21,6,,0.00,,,328
2013-8-15,16,8,-1,3,-1,-4,87,53,18,1028,1021,1016,14,13,9,42,18,60,0.00,,,358
2013-8-16,19,10,1,4,1,-4,93,60,20,1028,1023,1018,11,8,6,23,8,,0.00,,,163
2013-8-17,17,8,-1,5,1,-5,87,56,17,1029,1026,1023,14,14,9,32,13,,0.00,,,103
2013-8-18,21,15,9,10,7,5,88,61,26,1023,1019,1015,14,10,9,24,16,,0.00,,,37
2013-8-19,27,18,9,14,11,9,94,72,39,1016,1015,1013,14,10,7,23,8,,0.00,,Fog,54
2013-8-20,25,18,10,15,13,10,94,73,47,1016,1013,1008,14,10,9,21,8,,0.00,5,,80
2013-8-21,27,19,12,16,14,12,100,75,42,1010,1007,1003,10,8,3,16,6,,0.00,2,Fog,113
2013-8-22,14,9,3,13,-5,-15,88,36,6,1024,1016,1008,14,8,3,42,29,64,0.00,7,,179
2013-8-23,10,5,0,-3,-8,-15,60,39,8,1027,1025,1024,14,12,10,19,10,,0.00,8,,158
2013-8-24,12,7,1,3,-2,-9,87,56,22,1032,1030,1027,14,11,10,23,11,,0.00,6,,142
2013-8-25,12,7,1,2,-1,-4,87,61,33,1034,1032,1031,14,10,7,19,11,,0.00,5,,139
2013-8-26,11,4,-3,7,-4,-9,87,56,16,1035,1033,1030,14,10,3,23,10,,0.00,3,,159
2013-8-27,17,7,-4,3,-1,-4,100,65,16,1031,1026,1022,14,10,6,40,6,,0.00,,,350
2013-8-28,26,16,6,4,0,-3,76,41,8,1023,1021,1017,11,8,6,72,21,,0.00,,,336
2013-8-29,26,17,8,6,2,-6,67,41,8,1019,1016,1012,11,10,8,39,23,55,0.00,,,3
2013-8-30,27,18,8,12,6,3,82,48,17,1014,1012,1009,14,12,9,26,18,,0.00,,,16
2013-8-31,26,17,8,11,9,6,93,58,23,1012,1010,1008,14,9,6,14,3,,0.00,,,76
2013-9-1,28,18,8,12,8,6,88,58,16,1013,1010,1009,10,8,6,13,5,,0.00,,,133
2013-9-2,26,18,11,13,11,5,94,62,28,1017,1011,1009,11,9,7,29,11,,0.00,1,,151
2013-9-3,17,12,8,6,1,-3,67,47,24,1026,1024,1019,14,14,14,34,18,,0.00,,,165
2013-9-4,18,11,3,5,3,1,93,58,25,1027,1023,1019,14,14,11,27,10,,0.00,8,,62
2013-9-5,21,16,12,9,6,3,63,46,28,1020,1017,1014,14,14,14,27,19,,0.00,8,,57
2013-9-6,27,19,10,16,12,9,88,60,35,1017,1014,1010,14,13,11,21,11,,0.00,,,79
2013-9-7,28,23,18,20,17,14,100,72,51,1012,1008,1004,14,9,0,19,13,,2.03,7,Fog-Rain-Thunderstorm,85
2013-9-8,27,19,12,18,14,9,100,75,27,1019,1016,1013,11,4,0,13,6,,0.00,7,Fog,114
2013-9-9,33,23,14,19,16,13,88,61,35,1015,1011,1006,14,10,8,32,16,,0.00,,,34
2013-9-10,37,30,23,18,16,13,65,45,15,1009,1006,1003,11,11,11,52,29,60,0.00,,,180
2013-9-11,36,29,23,17,14,12,61,41,17,1006,1004,1001,14,10,8,42,24,,0.00,1,,318
2013-9-12,19,16,13,18,13,12,94,84,63,1013,1006,1002,14,9,3,40,18,,9.91,6,Rain-Thunderstorm,187
2013-9-13,13,12,10,12,8,6,94,79,62,1023,1019,1014,14,9,5,37,31,48,2.03,7,Rain-Thunderstorm,162
2013-9-14,14,10,7,7,6,3,87,73,53,1024,1022,1019,14,11,10,26,21,,0.00,8,,143
2013-9-15,13,9,6,9,6,2,88,73,58,1022,1019,1017,14,10,8,32,23,,5.08,8,Rain,155
2013-9-16,11,9,6,8,7,4,96,85,70,1021,1017,1015,14,9,5,37,26,,0.76,8,Rain,181
2013-9-17,14,9,3,7,2,-4,100,67,19,1022,1020,1018,14,11,10,27,18,,0.00,4,,220
2013-9-18,21,11,1,2,-2,-6,87,48,14,1023,1020,1019,14,12,10,29,13,,0.00,1,,275
2013-9-19,22,12,3,5,1,-2,81,45,12,1023,1019,1014,14,14,14,35,10,,0.00,,,351
2013-9-20,25,17,8,11,6,4,72,49,16,1016,1010,1005,14,10,9,19,13,,0.00,3,,21
2013-9-21,16,11,7,7,4,1,93,59,31,1020,1013,1009,14,10,9,40,16,50,7.11,8,Rain-Thunderstorm,163
2013-9-22,16,12,7,7,4,-1,93,65,29,1028,1024,1020,14,10,8,29,13,,3.05,7,Rain,163
2013-9-23,16,9,2,7,3,1,95,72,26,1031,1029,1028,14,11,8,27,10,,0.51,5,Fog-Rain-Thunderstorm,191
2013-9-24,16,9,1,6,3,-1,100,68,21,1032,1030,1028,14,9,1,14,5,,0.00,2,Fog,94
2013-9-25,18,12,6,9,6,4,93,65,28,1030,1025,1021,14,12,10,24,13,,0.00,5,,59
2013-9-26,22,14,8,9,7,6,87,59,27,1022,1019,1015,14,11,10,24,14,,0.00,3,,55
2013-9-27,22,17,11,11,9,7,77,61,40,1018,1016,1013,14,14,14,27,18,,0.00,,,88
2013-9-28,16,12,8,12,9,5,100,82,62,1022,1018,1014,14,11,9,29,18,,0.76,8,Rain,208
2013-9-29,19,12,5,7,3,2,93,61,26,1023,1020,1016,14,11,10,29,23,,0.00,5,Rain,231
2013-9-30,18,12,5,8,6,2,93,63,33,1019,1017,1015,14,12,10,34,14,,0.00,6,,232
2013-10-1,20,13,7,8,7,6,93,66,32,1018,1016,1014,14,11,10,21,14,,0.00,6,,207
2013-10-2,22,13,4,12,8,3,100,69,37,1019,1017,1014,14,12,9,24,8,,0.00,1,,109
2013-10-3,19,16,12,12,11,9,94,73,50,1020,1017,1015,14,11,9,26,14,,0.76,7,Rain,138
2013-10-4,21,16,11,11,9,6,94,68,28,1023,1021,1019,14,11,9,26,16,,0.00,6,Rain,158
2013-10-5,22,14,6,13,8,7,100,66,31,1023,1021,1019,14,10,5,19,8,,0.00,1,Fog,69
2013-10-6,25,17,8,11,9,7,94,56,22,1024,1022,1020,14,12,9,23,10,,0.00,,Fog,64
2013-10-7,26,20,13,11,8,3,72,47,18,1024,1022,1019,14,14,14,29,18,,0.00,,,45
2013-10-8,29,20,12,13,9,7,72,46,16,1020,1015,1010,14,10,9,24,16,,0.00,,,56
2013-10-9,28,23,18,17,14,11,94,57,24,1016,1012,1009,11,10,7,32,18,,3.05,7,Rain-Thunderstorm,72
2013-10-10,41,27,14,18,16,9,100,75,14,1016,1015,1013,14,8,0,26,11,,3.05,3,Fog-Rain-Thunderstorm,116
2013-10-11,24,21,17,18,16,14,94,71,52,1018,1016,1013,14,10,8,47,26,64,0.00,5,Rain-Thunderstorm,90
2013-10-12,21,19,16,17,16,14,88,80,63,1017,1015,1014,14,10,8,24,19,,0.00,7,,104
2013-10-13,26,21,17,17,17,16,100,78,49,1016,1014,1012,14,9,5,32,11,,0.00,6,Rain,84
2013-10-14,28,21,13,17,16,12,100,66,41,1018,1016,1014,14,9,8,19,8,,0.00,2,,86
2013-10-15,31,23,16,19,16,14,94,63,26,1020,1017,1015,14,11,9,24,10,,0.00,2,Fog,43
2013-10-16,31,24,17,16,13,11,73,49,24,1017,1015,1013,14,13,10,26,14,,0.00,6,,33
2013-10-17,28,22,15,18,16,13,94,74,45,1016,1014,1012,14,11,8,26,6,,7.87,7,Rain-Thunderstorm,156
2013-10-18,28,21,13,17,14,11,100,69,24,1014,1012,1009,14,9,3,19,5,,0.00,3,Fog,61
2013-10-19,35,26,16,23,14,10,88,52,16,1011,1006,1001,14,13,9,27,13,,0.00,6,Rain,19
2013-10-20,31,26,18,17,12,6,56,42,19,1008,1000,996,14,10,8,35,26,53,0.00,4,Rain,85
2013-10-21,24,18,12,10,6,1,72,45,22,1016,1013,1008,14,14,11,27,11,,0.00,,,168
2013-10-22,28,19,11,13,10,7,82,57,22,1015,1010,1005,14,14,14,34,13,,0.00,,,46
2013-10-23,29,22,15,18,14,12,82,61,32,1017,1008,1006,14,12,8,42,18,63,0.00,3,,124
2013-10-24,22,16,9,12,4,-3,94,50,12,1025,1022,1017,14,13,10,32,18,,0.00,4,,118
2013-10-25,22,16,8,13,8,4,88,60,30,1025,1020,1015,14,11,6,29,21,,1.02,7,Rain-Thunderstorm,82
2013-10-26,25,19,14,16,14,12,100,77,37,1017,1014,1012,14,10,6,16,10,,6.10,7,Rain-Thunderstorm,109
2013-10-27,25,20,15,15,11,7,94,61,28,1021,1018,1015,14,13,9,32,14,,0.00,,,99
2013-10-28,27,20,13,13,9,7,82,51,22,1019,1015,1011,14,14,14,32,18,,0.00,,,52
2013-10-29,28,20,12,13,10,8,72,48,23,1014,1012,1009,14,14,14,21,14,,0.00,,,75
2013-10-30,27,21,16,14,12,10,72,52,30,1013,1010,1007,14,14,14,29,18,,0.00,,,81
2013-10-31,23,20,17,20,17,13,100,85,50,1010,1007,1004,14,9,2,47,23,,13.97,7,Rain-Thunderstorm,87
2013-11-1,21,19,18,20,18,16,100,93,84,1012,1007,1004,11,7,1,32,21,,16.00,7,Rain-Thunderstorm,161
2013-11-2,23,19,14,16,14,10,94,71,48,1016,1013,1011,14,12,10,29,19,,0.00,4,,178
2013-11-3,25,19,12,14,11,8,94,61,24,1019,1017,1016,14,13,10,19,11,,0.00,1,,157
2013-11-4,27,19,12,15,13,10,100,62,27,1019,1017,1015,14,11,8,24,6,,0.00,,Fog,55
2013-11-5,27,21,15,19,14,12,94,62,31,1020,1017,1005,14,13,3,24,16,,0.00,1,Rain-Thunderstorm,56
2013-11-6,30,23,16,15,13,12,82,54,27,1017,1013,1008,14,13,9,34,19,,0.00,,,46
2013-11-7,21,18,16,18,15,12,88,73,53,1017,1013,1009,14,12,6,37,19,58,20.07,8,Rain-Thunderstorm,104
2013-11-8,22,19,16,19,17,16,100,92,79,1015,1011,1007,14,9,3,26,14,37,11.94,7,Rain-Thunderstorm,77
2013-11-9,26,22,18,19,17,16,88,77,55,1009,1006,1004,14,11,10,24,18,,0.00,7,,75
2013-11-10,26,22,19,20,18,16,95,79,57,1007,1003,1000,14,10,5,40,19,60,4.06,7,Rain-Thunderstorm,147
2013-11-11,26,21,17,16,13,8,88,64,24,1009,1006,1004,14,11,10,27,19,,0.00,7,,200
2013-11-12,30,22,13,16,11,4,82,51,19,1013,1010,1007,14,14,14,14,8,,0.00,,,250
2013-11-13,31,24,18,17,14,8,83,54,17,1015,1012,1009,14,13,11,42,14,60,0.00,,,44
2013-11-14,33,27,19,20,17,14,78,54,29,1010,1005,1000,14,14,9,45,21,,0.00,,,20
2013-11-15,24,20,15,20,12,4,100,57,23,1018,1010,1000,14,11,8,53,34,69,13.97,8,Rain-Thunderstorm,192
2013-11-16,27,18,10,13,10,5,100,60,22,1020,1018,1015,14,14,11,14,6,,0.00,,,104
2013-11-17,29,21,13,15,13,10,94,58,28,1015,1012,1007,14,14,11,26,11,,0.00,,,25
2013-11-18,30,23,17,19,16,11,78,58,23,1008,1006,1004,14,13,10,23,13,,0.00,6,,38
2013-11-19,28,22,17,19,17,15,88,73,51,1013,1009,1006,14,9,6,23,16,,0.00,6,,125
2013-11-20,26,21,16,18,16,14,94,72,45,1015,1014,1012,14,11,9,21,14,,0.00,6,,115
2013-11-21,29,22,16,18,17,15,100,69,40,1018,1016,1015,14,10,3,19,10,,0.00,2,Fog,95
2013-11-22,31,23,17,17,15,10,88,57,20,1017,1014,1010,14,14,11,24,14,,0.00,,,34
2013-11-23,31,25,19,16,15,13,78,54,24,1013,1010,1005,14,14,14,26,16,45,0.00,,,35
2013-11-24,34,27,20,20,17,12,83,54,29,1008,1006,1002,14,13,10,37,18,52,0.00,6,,20
